time,brake,rpm,speed
50.606,0,0.29148389,0.090292096
50.617,0,0.29148389,0.091151203
50.629,0,0.29148389,0.092611684
50.641,0,0.299349569,0.095017182
50.653,0,0.30585388,0.09604811
50.665,0,0.30585388,0.096907216
50.677,0,0.316139767,0.09862543
50.689,0,0.316139767,0.100085911
50.701,0,0.320980185,0.10128866
50.713,0,0.320980185,0.103436426
50.725,0,0.326425654,0.104467354
50.737,0,0.326425654,0.105670103
50.75,0,0.332627439,0.106786942
50.761,0,0.332627439,0.107989691
50.773,0,0.33913175,0.109278351
50.785,0,0.33913175,0.110738832
50.798,0,0.345333535,0.113058419
50.81,0,0.345333535,0.113831615
50.822,0,0.35153532,0.115034364
50.834,0,0.35153532,0.116580756
50.846,0,0.357132053,0.117869416
50.858,0,0.357132053,0.118728522
50.87,0,0.362577522,0.120360825
50.882,0,0.362577522,0.121134021
50.894,0,0.367720466,0.122680412
50.906,0,0.367720466,0.124140893
50.918,0,0.374829829,0.125601375
50.93,0,0.374829829,0.126460481
50.942,0,0.380275299,0.127319588
50.954,0,0.380275299,0.129209622
50.966,0,0.388443503,0.13032646
50.978,0,0.388443503,0.13152921
50.99,0,0.397973075,0.13290378
51.002,0,0.397973075,0.134278351
51.015,0,0.406897595,0.135738832
51.026,0,0.406897595,0.137199313
51.039,0,0.417032219,0.138402062
51.051,0,0.417032219,0.140120275
51.063,0,0.426561791,0.141065292
51.075,0,0.426561791,0.142697595
51.087,0,0.432612313,0.143900344
51.099,0,0.432612313,0.144931271
51.111,0,0.443654515,0.146219931
51.123,0,0.443654515,0.147766323
51.135,0,0.453486613,0.148883162
51.147,0,0.453486613,0.150601375
51.159,0,0.462713659,0.152061856
51.171,0,0.462713659,0.15257732
51.183,0,0.471335653,0.154209622
51.195,0,0.471335653,0.156443299
51.207,0,0.479201331,0.157560137
51.219,0,0.488125851,0.158075601
51.231,0,0.488125851,0.159621993
51.244,0,0.494781425,0.162027491
51.255,0,0.494781425,0.162886598
51.267,0,0.499621842,0.164776632
51.28,0,0.499621842,0.165378007
51.292,0,0.505823627,0.165979381
51.304,0,0.505823627,0.167869416
51.316,0,0.512327938,0.169415808
51.328,0,0.512327938,0.170704467
51.34,0,0.518227197,0.172079038
51.352,0,0.518227197,0.17362543
51.364,0,0.522311299,0.174484536
51.376,0,0.522311299,0.17628866
51.388,0,0.526092876,0.177319588
51.402,0,0.526092876,0.178694158
51.412,0,0.530328241,0.180670103
51.424,0,0.530328241,0.181786942
51.437,0,0.53426108,0.183161512
51.449,0,0.53426108,0.184364261
51.46,0,0.536983815,0.186340206
51.472,0,0.536983815,0.187628866
51.485,0,0.541824232,0.189347079
51.497,0,0.541824232,0.190292096
51.509,0,0.545454545,0.192182131
51.521,0,0.545454545,0.194243986
51.533,0,0.548782332,0.195103093
51.545,0,0.548782332,0.196477663
51.557,0,0.554227802,0.19742268
51.569,0,0.554227802,0.199226804
51.581,0,0.558916957,0.201030928
51.593,0,0.558916957,0.202147766
51.605,0,0.562396007,0.202319588
51.617,0,0.562396007,0.204553265
51.629,0,0.566782635,0.206443299
51.641,0,0.566782635,0.207302405
51.654,0,0.569807896,0.208591065
51.666,0,0.569807896,0.210309278
51.677,0,0.57298442,0.211597938
51.689,0,0.57298442,0.212714777
51.701,0,0.579337468,0.214604811
51.713,0,0.579337468,0.215979381
51.726,0,0.583572833,0.216666667
51.738,0,0.58690062,0.218298969
51.749,0,0.58690062,0.220017182
51.762,0,0.590228407,0.221219931
51.774,0,0.590228407,0.222594502
51.786,0,0.595068825,0.224140893
51.798,0,0.595068825,0.225601375
51.81,0,0.599909242,0.227147766
51.822,0,0.599909242,0.227405498
51.834,0,0.602026925,0.229381443
51.846,0,0.602026925,0.231013746
51.859,0,0.605505975,0.232388316
51.87,0,0.605505975,0.232474227
51.882,0,0.607018605,0.234879725
51.894,0,0.607018605,0.235996564
51.906,0,0.611102708,0.237628866
51.918,0,0.611102708,0.238917526
51.93,0,0.61518681,0.239948454
51.942,0,0.61518681,0.240549828
51.954,0,0.615791862,0.242611684
51.966,0,0.615791862,0.244158076
51.978,0,0.618968386,0.245962199
51.99,0,0.618968386,0.246477663
52.002,0,0.623203751,0.248109966
52.015,0,0.623203751,0.250687285
52.027,0,0.623203751,0.250687285
52.038,0,0.623203751,0.252749141
52.051,0,0.625775223,0.254295533
52.063,0,0.625775223,0.25395189
52.075,0,0.628044169,0.256013746
52.088,0,0.628044169,0.25790378
52.099,0,0.628497958,0.259364261
52.111,0,0.628497958,0.259621993
52.123,0,0.632430797,0.261340206
52.135,0,0.632430797,0.26314433
52.148,0,0.631825745,0.264175258
52.16,0,0.631825745,0.264862543
52.171,0,0.631825745,0.26580756
52.183,0,0.631825745,0.267525773
52.195,0,0.63454848,0.269329897
52.208,0,0.63454848,0.270360825
52.22,0,0.636817426,0.271563574
52.231,0,0.636817426,0.273024055
52.244,0,0.637422478,0.273883162
52.256,0,0.638481319,0.275859107
52.268,0,0.638481319,0.27757732
52.28,0,0.641960369,0.277749141
52.292,0,0.641960369,0.279123711
52.304,0,0.640750265,0.280756014
52.316,0,0.640750265,0.281786942
52.328,0,0.64301921,0.282216495
52.34,0,0.64301921,0.284278351
52.352,0,0.644683104,0.284707904
52.364,0,0.644683104,0.286254296
52.376,0,0.645893208,0.287027491
52.388,0,0.645893208,0.288316151
52.401,0,0.648767206,0.290206186
52.412,0,0.648767206,0.29080756
52.424,0,0.650582363,0.292353952
52.437,0,0.650582363,0.294072165
52.449,0,0.652851308,0.294501718
52.461,0,0.652851308,0.295618557
52.473,0,0.655271517,0.297508591
52.485,0,0.655271517,0.298109966
52.497,0,0.658145515,0.29862543
52.509,0,0.658145515,0.300429553
52.522,0,0.661170776,0.301632302
52.533,0,0.661170776,0.302749141
52.545,0,0.662985933,0.303522337
52.557,0,0.662985933,0.304896907
52.569,0,0.666011193,0.305498282
52.581,0,0.666011193,0.30661512
52.593,0,0.668431402,0.308419244
52.605,0,0.668431402,0.309879725
52.617,0,0.670397822,0.311254296
52.629,0,0.670397822,0.312199313
52.642,0,0.674028135,0.313230241
52.653,0,0.674028135,0.31443299
52.665,0,0.674633187,0.316065292
52.678,0,0.674633187,0.316494845
52.69,0,0.677809711,0.31838488
52.702,0,0.677809711,0.318986254
52.714,0,0.679171079,0.318986254
52.726,0,0.679171079,0.322079038
52.738,0,0.680986235,0.321649485
52.75,0,0.680986235,0.323109966
52.762,0,0.682952655,0.32371134
52.774,0,0.683557707,0.325773196
52.787,0,0.683557707,0.32757732
52.798,0,0.684314022,0.327835052
52.81,0,0.684314022,0.328865979
52.822,0,0.686129179,0.330498282
52.835,0,0.686129179,0.331013746
52.846,0,0.686129179,0.333934708
52.858,0,0.686129179,0.332560137
52.871,0,0.688851913,0.335051546
52.882,0,0.688851913,0.337199313
52.894,0,0.688095598,0.335996564
52.906,0,0.688095598,0.33814433
52.918,0,0.690062018,0.338831615
52.931,0,0.690062018,0.339862543
52.943,0,0.690818333,0.340549828
52.955,0,0.690818333,0.342439863
52.967,0,0.691423385,0.344415808
52.979,0,0.691423385,0.344415808
52.991,0,0.692784753,0.345360825
53.003,0,0.692784753,0.347079038
53.015,0,0.693389805,0.349226804
53.027,0,0.693389805,0.348797251
53.039,0,0.694751172,0.350773196
53.051,0,0.694751172,0.351804124
53.063,0,0.69611254,0.350859107
53.075,0,0.69611254,0.35395189
53.087,0,0.69611254,0.353350515
53.099,0,0.69611254,0.354810997
53.112,0,0.696717592,0.356271478
53.124,0,0.696717592,0.357646048
53.136,0,0.69611254,0.358505155
53.147,0,0.69611254,0.359364261
53.16,0,0.697322644,0.360309278
53.172,0,0.697322644,0.36185567
53.184,0,0.699440327,0.364003436
53.196,0,0.699440327,0.3645189
53.208,0,0.700045379,0.365378007
53.22,0,0.700045379,0.36709622
53.232,0,0.703524429,0.366924399
53.244,0,0.703524429,0.368213058
53.256,0,0.702163062,0.369243986
53.268,0,0.702163062,0.369329897
53.281,0,0.704885796,0.371305842
53.292,0,0.704885796,0.37233677
53.304,0,0.706247164,0.372508591
53.316,0,0.708969899,0.375429553
53.328,0,0.708969899,0.375515464
53.341,0,0.710331266,0.378006873
53.353,0,0.710331266,0.377405498
53.365,0,0.710331266,0.378522337
53.377,0,0.710331266,0.381099656
53.389,0,0.713205264,0.379810997
53.401,0,0.713205264,0.380412371
53.413,0,0.713810316,0.383075601
53.425,0,0.713810316,0.383161512
53.437,0,0.715322947,0.384020619
53.449,0,0.715322947,0.385652921
53.461,0,0.715322947,0.386597938
53.473,0,0.715322947,0.388058419
53.485,0,0.718801997,0.389347079
53.497,0,0.718801997,0.390378007
53.509,0,0.718045681,0.390721649
53.521,0,0.718045681,0.391924399
53.534,0,0.717440629,0.391924399
53.545,0,0.717440629,0.393642612
53.558,0,0.720163364,0.393814433
53.571,0,0.720163364,0.395618557
53.582,0,0.72243231,0.396563574
53.594,0,0.72243231,0.398367698
